rank	scene_id	frames	raw_frames	source
52	scene0193_01	300	536	metadata_capped
53	scene0684_01	300	537	metadata_capped
54	scene0053_00	300	545	metadata_capped
55	scene0658_00	300	547	metadata_capped
56	scene0160_03	300	548	metadata_capped
57	scene0368_01	300	549	metadata_capped
58	scene0528_00	300	552	metadata_capped
59	scene0570_01	300	558	metadata_capped
60	scene0630_00	300	558	metadata_capped
61	scene0108_00	300	561	metadata_capped
62	scene0118_01	300	562	metadata_capped
63	scene0570_00	300	562	metadata_capped
64	scene0346_00	300	564	metadata_capped
65	scene0607_01	300	571	metadata_capped
66	scene0559_00	300	575	metadata_capped
67	scene0373_01	300	578	metadata_capped
68	scene0019_00	300	579	metadata_capped
69	scene0234_00	300	580	metadata_capped
70	scene0153_00	300	582	metadata_capped
71	scene0238_00	300	586	metadata_capped
72	scene0587_03	300	587	metadata_capped
73	scene0491_00	300	588	metadata_capped
74	scene0237_01	300	589	metadata_capped
75	scene0532_00	300	598	metadata_capped
76	scene0488_00	300	599	metadata_capped
77	scene0077_00	300	604	metadata_capped
78	scene0579_02	300	606	metadata_capped
79	scene0552_01	300	607	metadata_capped
80	scene0586_02	300	607	metadata_capped
81	scene0469_02	300	609	metadata_capped
82	scene0182_02	300	613	metadata_capped
83	scene0637_00	300	615	metadata_capped
84	scene0078_00	300	616	metadata_capped
85	scene0480_01	300	616	metadata_capped
86	scene0117_00	300	617	metadata_capped
87	scene0238_01	300	618	metadata_capped
88	scene0479_02	300	618	metadata_capped
89	scene0423_01	300	619	metadata_capped
90	scene0528_01	300	622	metadata_capped
91	scene0479_01	300	623	metadata_capped
92	scene0639_00	300	624	metadata_capped
93	scene0118_00	300	625	metadata_capped
94	scene0359_01	300	625	metadata_capped
95	scene0019_01	300	630	metadata_capped
96	scene0671_01	300	630	metadata_capped
97	scene0626_00	300	635	metadata_capped
98	scene0482_01	300	638	metadata_capped
99	scene0605_00	300	639	metadata_capped
100	scene0471_00	300	641	metadata_capped
101	scene0543_00	300	641	metadata_capped
102	scene0615_01	300	647	metadata_capped
103	scene0407_01	300	648	metadata_capped
104	scene0244_00	300	649	metadata_capped
105	scene0498_01	300	653	metadata_capped
106	scene0471_02	300	654	metadata_capped
107	scene0587_00	300	664	metadata_capped
108	scene0292_01	300	667	metadata_capped
109	scene0182_01	300	669	metadata_capped
110	scene0048_01	300	670	metadata_capped
111	scene0703_00	300	670	metadata_capped
112	scene0326_00	300	672	metadata_capped
113	scene0527_00	300	673	metadata_capped
114	scene0471_01	300	675	metadata_capped
115	scene0052_02	300	678	metadata_capped
116	scene0359_00	300	680	metadata_capped
117	scene0113_01	300	681	metadata_capped
118	scene0445_00	300	683	metadata_capped
119	scene0535_00	300	684	metadata_capped
120	scene0182_00	300	685	metadata_capped
121	scene0609_03	300	690	metadata_capped
122	scene0157_01	300	693	metadata_capped
123	scene0267_00	300	695	metadata_capped
124	scene0475_01	300	698	metadata_capped
125	scene0313_02	300	700	metadata_capped
126	scene0295_01	300	701	metadata_capped
127	scene0388_01	300	704	metadata_capped
128	scene0655_02	300	706	metadata_capped
129	scene0558_00	300	707	metadata_capped
130	scene0032_01	300	709	metadata_capped
131	scene0244_01	300	711	metadata_capped
132	scene0036_01	300	712	metadata_capped
133	scene0154_00	300	712	metadata_capped
134	scene0579_00	300	712	metadata_capped
135	scene0559_02	300	713	metadata_capped
136	scene0115_02	300	714	metadata_capped
137	scene0479_00	300	714	metadata_capped
138	scene0626_01	300	714	metadata_capped
139	scene0193_00	300	715	metadata_capped
140	scene0278_01	300	716	metadata_capped
141	scene0437_00	300	719	metadata_capped
142	scene0470_00	300	719	metadata_capped
143	scene0702_02	300	720	metadata_capped
144	scene0453_00	300	724	metadata_capped
145	scene0153_01	300	726	metadata_capped
146	scene0062_00	300	730	metadata_capped
147	scene0324_01	300	731	metadata_capped
148	scene0402_00	300	733	metadata_capped
149	scene0113_00	300	734	metadata_capped
150	scene0545_01	300	734	metadata_capped
151	scene0630_04	300	734	metadata_capped
152	scene0323_01	300	735	metadata_capped
153	scene0484_01	300	738	metadata_capped
154	scene0381_01	300	739	metadata_capped
155	scene0630_05	300	739	metadata_capped
156	scene0494_00	300	741	metadata_capped
157	scene0579_01	300	742	metadata_capped
158	scene0337_01	300	743	metadata_capped
159	scene0313_00	300	745	metadata_capped
160	scene0626_02	300	745	metadata_capped
161	scene0703_01	300	745	metadata_capped
162	scene0083_00	300	749	metadata_capped
163	scene0083_01	300	750	metadata_capped
164	scene0062_02	300	751	metadata_capped
165	scene0595_00	300	751	metadata_capped
166	scene0218_01	300	752	metadata_capped
167	scene0062_01	300	754	metadata_capped
168	scene0125_00	300	754	metadata_capped
169	scene0097_00	300	756	metadata_capped
170	scene0287_00	300	759	metadata_capped
171	scene0013_00	300	760	metadata_capped
172	scene0067_01	300	760	metadata_capped
173	scene0377_02	300	761	metadata_capped
174	scene0445_01	300	763	metadata_capped
175	scene0123_01	300	766	metadata_capped
176	scene0441_00	300	766	metadata_capped
177	scene0428_01	300	767	metadata_capped
178	scene0702_01	300	767	metadata_capped
179	scene0168_02	300	768	metadata_capped
180	scene0594_00	300	769	metadata_capped
181	scene0316_00	300	770	metadata_capped
182	scene0423_00	300	770	metadata_capped
183	scene0531_00	300	775	metadata_capped
184	scene0134_02	300	777	metadata_capped
185	scene0398_01	300	777	metadata_capped
186	scene0338_01	300	780	metadata_capped
187	scene0671_00	300	780	metadata_capped
188	scene0221_01	300	781	metadata_capped
189	scene0239_01	300	782	metadata_capped
190	scene0160_02	300	785	metadata_capped
191	scene0136_01	300	787	metadata_capped
192	scene0376_01	300	789	metadata_capped
193	scene0502_00	300	791	metadata_capped
194	scene0278_00	300	792	metadata_capped
195	scene0215_00	300	793	metadata_capped
196	scene0573_01	300	796	metadata_capped
197	scene0690_01	300	796	metadata_capped
198	scene0382_01	300	803	metadata_capped
199	scene0160_00	300	804	metadata_capped
200	scene0338_00	300	805	metadata_capped
201	scene0263_01	300	806	metadata_capped
202	scene0298_00	300	807	metadata_capped
203	scene0675_01	300	807	metadata_capped
204	scene0064_01	300	808	metadata_capped
205	scene0498_00	300	810	metadata_capped
206	scene0131_02	300	811	metadata_capped
207	scene0344_01	300	812	metadata_capped
208	scene0080_02	300	814	metadata_capped
209	scene0018_00	300	817	metadata_capped
210	scene0450_00	300	818	metadata_capped
211	scene0080_01	300	819	metadata_capped
212	scene0573_00	300	819	metadata_capped
213	scene0673_03	300	821	metadata_capped
214	scene0204_01	300	823	metadata_capped
215	scene0352_02	300	823	metadata_capped
216	scene0164_01	300	825	metadata_capped
217	scene0229_02	300	825	metadata_capped
218	scene0602_00	300	826	metadata_capped
219	scene0478_01	300	828	metadata_capped
220	scene0620_00	300	828	metadata_capped
221	scene0056_01	300	829	metadata_capped
222	scene0549_00	300	830	metadata_capped
223	scene0063_00	300	831	metadata_capped
224	scene0344_00	300	831	metadata_capped
225	scene0110_01	300	833	metadata_capped
226	scene0268_00	300	833	metadata_capped
227	scene0027_02	300	834	metadata_capped
228	scene0032_00	300	835	metadata_capped
229	scene0103_00	300	836	metadata_capped
230	scene0702_00	300	836	metadata_capped
231	scene0123_02	300	839	metadata_capped
232	scene0165_01	300	839	metadata_capped
233	scene0302_01	300	839	metadata_capped
234	scene0371_00	300	839	metadata_capped
235	scene0476_02	300	840	metadata_capped
236	scene0545_00	300	843	metadata_capped
237	scene0109_01	300	846	metadata_capped
238	scene0651_01	300	846	metadata_capped
239	scene0474_04	300	848	metadata_capped
240	scene0651_02	300	849	metadata_capped
241	scene0675_00	300	849	metadata_capped
242	scene0387_00	300	851	metadata_capped
243	scene0356_02	300	852	metadata_capped
244	scene0466_01	300	852	metadata_capped
245	scene0192_02	300	853	metadata_capped
246	scene0361_02	300	853	metadata_capped
247	scene0598_01	300	854	metadata_capped
248	scene0423_02	300	855	metadata_capped
249	scene0351_01	300	856	metadata_capped
250	scene0630_06	300	857	metadata_capped
251	scene0337_00	300	858	metadata_capped
252	scene0506_00	300	858	metadata_capped
253	scene0078_01	300	859	metadata_capped
254	scene0216_00	300	859	metadata_capped
255	scene0277_02	300	861	metadata_capped
256	scene0380_02	300	862	metadata_capped
257	scene0082_00	300	863	metadata_capped
258	scene0171_00	300	863	metadata_capped
259	scene0068_01	300	864	metadata_capped
260	scene0689_00	300	864	metadata_capped
261	scene0065_02	300	865	metadata_capped
262	scene0424_01	300	869	metadata_capped
263	scene0562_00	300	869	metadata_capped
264	scene0310_00	300	870	metadata_capped
265	scene0367_00	300	871	metadata_capped
266	scene0545_02	300	871	metadata_capped
267	scene0684_00	300	871	metadata_capped
268	scene0310_01	300	873	metadata_capped
269	scene0313_01	300	874	metadata_capped
270	scene0034_00	300	875	metadata_capped
271	scene0540_02	300	875	metadata_capped
272	scene0292_00	300	877	metadata_capped
273	scene0201_01	300	878	metadata_capped
274	scene0112_00	300	880	metadata_capped
275	scene0200_01	300	880	metadata_capped
276	scene0065_01	300	881	metadata_capped
277	scene0200_02	300	882	metadata_capped
278	scene0605_01	300	883	metadata_capped
279	scene0469_00	300	884	metadata_capped
280	scene0075_00	300	885	metadata_capped
281	scene0052_01	300	886	metadata_capped
282	scene0204_02	300	886	metadata_capped
283	scene0192_01	300	888	metadata_capped
284	scene0106_02	300	889	metadata_capped
285	scene0552_00	300	889	metadata_capped
286	scene0277_01	300	891	metadata_capped
287	scene0170_02	300	892	metadata_capped
288	scene0459_01	300	892	metadata_capped
289	scene0618_00	300	892	metadata_capped
290	scene0133_00	300	895	metadata_capped
291	scene0191_02	300	895	metadata_capped
292	scene0631_00	300	899	metadata_capped
293	scene0205_01	300	900	metadata_capped
294	scene0690_00	300	900	metadata_capped
295	scene0112_02	300	901	metadata_capped
296	scene0377_00	300	904	metadata_capped
297	scene0120_00	300	908	metadata_capped
298	scene0357_01	300	908	metadata_capped
299	scene0357_00	300	910	metadata_capped
300	scene0229_00	300	911	metadata_capped
